Res, 16, 10240, 7.1974023438
Res, 16, 15360, 7.5940625000
Res, 16, 40960, 7.3566601563
Res, 16, 81920, 7.4202636719
Res, 16, 163840, 8.4485717773
Res, 32, 384, 7.0786458333
Res, 32, 1152, 7.1213541667
Res, 32, 10240, 7.5472460938
Res, 32, 15360, 7.9532421875
Res, 32, 40960, 7.3751904297
Res, 32, 81920, 7.9959228516
Res, 32, 163840, 13.9563427734
Res, 256, 384, 7.1156250000
Res, 256, 1152, 7.7215277778
Res, 256, 10240, 9.1490625000
Res, 256, 15360, 12.3738802083
Res, 256, 40960, 15.4274072266
Res, 256, 81920, 15.5535839844
Res, 256, 163840, 16.1113037109
Res, 2, 384, 7.0470052083
Res, 2, 1152, 7.0690104167
Res, 2, 10240, 7.0873339844
Res, 2, 15360, 7.1145182292
Res, 2, 40960, 7.1481054687
Res, 2, 81920, 7.1410241699
Res, 2, 163840, 7.1832949829
Res, 8, 384, 7.0036458333
Res, 8, 1152, 7.0821180556
Res, 8, 10240, 7.1358984375
Res, 8, 15360, 7.2772005208
Res, 8, 40960, 7.4078662109
Res, 8, 81920, 7.2413769531
Res, 8, 163840, 7.2707250977
Res, 16, 384, 7.0161458333
Res, 16, 1152, 7.1118055556
Res, 16, 10240, 7.3675781250
Res, 16, 15360, 7.5605078125
Res, 16, 40960, 7.6387646484
Res, 16, 81920, 7.3155883789
Res, 16, 163840, 8.1915258789
Res, 32, 384, 7.0557291667
Res, 32, 1152, 7.0937500000
Res, 32, 10240, 7.5950781250
Res, 32, 15360, 7.6025000000
Res, 32, 40960, 7.5155419922
Res, 32, 81920, 8.0473315430
Res, 32, 163840, 14.3075976562
Res, 256, 384, 7.2229166667
Res, 256, 1152, 7.6053819444
Res, 256, 10240, 9.9206835938
Res, 256, 15360, 12.6132942708
Res, 256, 40960, 14.5560253906
Res, 256, 81920, 15.6202954102
Res, 256, 163840, 15.9075561523
